ist1102618@lab6p8:~/lab1_oc/lab1_kit/spark$ ./spark 
size	stride	elapsed(s)	cycles
[LOG]: running with array of size 4 KiB
4096	1	0.000976	976
4096	2	0.000985	985
4096	4	0.000953	953
4096	8	0.000930	931
4096	16	0.000951	951
4096	32	0.000919	919
4096	64	0.000847	848
4096	128	0.000881	881
4096	256	0.000860	861
4096	512	0.000844	844
4096	1024	0.000806	806
4096	2048	0.000844	844
[LOG]: running with array of size 8 KiB
8192	1	0.001852	1852
8192	2	0.001890	1890
8192	4	0.001878	1878
8192	8	0.001781	1782
8192	16	0.001862	1862
8192	32	0.001969	1969
8192	64	0.001805	1805
8192	128	0.001767	1767
8192	256	0.001643	1643
8192	512	0.001640	1641
8192	1024	0.001609	1609
8192	2048	0.001660	1660
8192	4096	0.001744	1744
[LOG]: running with array of size 16 KiB
16384	1	0.003708	3708
16384	2	0.003729	3730
16384	4	0.003678	3678
16384	8	0.003564	3564
16384	16	0.003692	3691
16384	32	0.003800	3800
16384	64	0.003615	3615
16384	128	0.003640	3641
16384	256	0.003359	3359
16384	512	0.003289	3289
16384	1024	0.003253	3253
16384	2048	0.003426	3427
16384	4096	0.003562	3562
16384	8192	0.003409	3409
[LOG]: running with array of size 32 KiB
32768	1	0.007262	7262
32768	2	0.007272	7272
32768	4	0.007266	7266
32768	8	0.007113	7113
32768	16	0.007164	7164
32768	32	0.006865	6865
32768	64	0.007393	7393
32768	128	0.007254	7254
32768	256	0.007190	7190
32768	512	0.006734	6734
32768	1024	0.006583	6584
32768	2048	0.006741	6741
32768	4096	0.007229	7229
32768	8192	0.007146	7145
32768	16384	0.006925	6925
[LOG]: running with array of size 64 KiB
65536	1	0.012997	12997
65536	2	0.012549	12549
65536	4	0.014176	14176
65536	8	0.014663	14663
65536	16	0.014730	14730
65536	32	0.014291	14291
65536	64	0.012388	12388
65536	128	0.012764	12764
65536	256	0.012558	12559
65536	512	0.012622	12622
65536	1024	0.012218	12218
65536	2048	0.014368	14367
65536	4096	0.033108	33107
65536	8192	0.014490	14490
65536	16384	0.014269	14269
65536	32768	0.013667	13666
[LOG]: running with array of size 128 KiB
131072	1	0.026088	26087
131072	2	0.025067	25067
131072	4	0.028449	28449
131072	8	0.028887	28886
131072	16	0.029374	29374
131072	32	0.028494	28494
131072	64	0.025442	25442
131072	128	0.027385	27385
131072	256	0.026841	26840
131072	512	0.027498	27497
131072	1024	0.028415	28414
131072	2048	0.075356	75356
131072	4096	0.115895	115895
131072	8192	0.066376	66376
131072	16384	0.028946	28946
131072	32768	0.028519	28519
131072	65536	0.027297	27297
[LOG]: running with array of size 256 KiB
262144	1	0.052138	52138
262144	2	0.049791	49791
262144	4	0.056863	56863
262144	8	0.057319	57318
262144	16	0.058081	58080
262144	32	0.055176	55177
262144	64	0.052244	52244
262144	128	0.059459	59459
262144	256	0.064339	64340
262144	512	0.067165	67165
262144	1024	0.069688	69687
262144	2048	0.142965	142965
262144	4096	0.230612	230612
262144	8192	0.227641	227640
262144	16384	0.210362	210361
262144	32768	0.057932	57932
262144	65536	0.057089	57090
262144	131072	0.054574	54574
[LOG]: running with array of size 512 KiB
524288	1	0.104336	104336
524288	2	0.099595	99595
524288	4	0.114246	114246
524288	8	0.114277	114278
524288	16	0.115343	115343
524288	32	0.110216	110216
524288	64	0.109676	109676
524288	128	0.134948	134948
524288	256	0.158177	158177
524288	512	0.162998	162998
524288	1024	0.168768	168768
524288	2048	0.159735	159735
524288	4096	0.463401	463401
524288	8192	0.448679	448680
524288	16384	0.423422	423421
524288	32768	0.411558	411558
524288	65536	0.122915	122915
524288	131072	0.114068	114068
524288	262144	0.109326	109326
[LOG]: running with array of size 1024 KiB
1048576	1	0.208757	208758
1048576	2	0.199198	199198
1048576	4	0.228521	228521
1048576	8	0.228658	228658
1048576	16	0.230413	230413
1048576	32	0.219603	219603
1048576	64	0.220194	220193
1048576	128	0.274511	274511
1048576	256	0.333520	333520
1048576	512	0.347366	347365
1048576	1024	0.353887	353887
1048576	2048	0.323053	323053
1048576	4096	0.942076	942077
1048576	8192	0.903915	903915
1048576	16384	0.890186	890186
1048576	32768	0.906757	906757
1048576	65536	0.590455	590455
1048576	131072	0.245543	245544
1048576	262144	0.228027	228027
1048576	524288	0.218198	218198
[LOG]: running with array of size 2048 KiB
2097152	1	0.417511	417511
2097152	2	0.398365	398365
2097152	4	0.457086	457086
2097152	8	0.457128	457128
2097152	16	0.461474	461474
2097152	32	0.441543	441543
2097152	64	0.443752	443752
2097152	128	0.554458	554457
2097152	256	0.667711	667712
2097152	512	0.698651	698651
2097152	1024	0.710473	710473
2097152	2048	0.646671	646671
2097152	4096	1.864911	1864911
2097152	8192	1.868603	1868602
2097152	16384	1.822020	1822020
2097152	32768	1.852232	1852232
2097152	65536	1.704581	1704581
2097152	131072	1.180447	1180447
2097152	262144	0.491044	491044
2097152	524288	0.455898	455897
2097152	1048576	0.436166	436166
[LOG]: running with array of size 4096 KiB
4194304	1	0.835177	835177
4194304	2	0.796710	796711
4194304	4	0.914903	914903
4194304	8	0.915773	915772
4194304	16	0.908283	908283
4194304	32	0.893183	893183
4194304	64	0.905486	905486
4194304	128	1.183313	1183313
4194304	256	1.430419	1430418
4194304	512	1.500375	1500375
4194304	1024	1.521170	1521169
4194304	2048	1.326074	1326074
4194304	4096	3.720075	3720075
4194304	8192	3.746565	3746565
4194304	16384	3.832151	3832151
4194304	32768	3.733835	3733835
4194304	65536	3.528729	3528728
4194304	131072	3.463113	3463113
4194304	262144	2.361549	2361548
4194304	524288	0.982752	982751
4194304	1048576	0.917574	917574
4194304	2097152	0.885471	885471
ist1102618@lab6p8:~/lab1_oc/lab1_kit/spark$ 

